trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
12	1	1	0	4	3	1	5	0.0	1	2012	4	1	7	12.75	80	0	1	2	3379	0.833888889	0.242222222	0.209166667	0.0	0.123611111	0.0	0	0.141388889	0.0	0.51	0.0	0.0903733
17	3	1	1	3	1	6	1	1.0	1	2012	4	1	7	21.5	32	1	0	0	1901	0.512222222	0.141666667	0.123888889	0.0	0.208055556	0.091666667	1	0.1155555559999999	3.0	0.33	0.0	0.0336538
51	12	1	1	4	5	2	1	1.0	1	2012	4	1	7	11.16666667	56	1	1	1	7835	1.823611111	0.554444444	0.082222222	0.0	0.5475	0.133333333	1	0.355555556	3.0	1.12	0.0	0.302344
67	13	1	6	4	3	1	5	0.0	1	2012	4	1	7	22.08333333	64	0	1	1	3355	0.876944444	0.240833333	0.0325	0.0	0.391666667	0.0	0	0.2069444439999999	0.0	0.67	0.0	0.1597319999999999
74	14	0	3	4	3	1	5	0.0	1	2012	4	1	7	18.0	65	1	1	2	792	0.23	0.067222222	0.136388889	0.0	0.033888889	0.0	0	0.067777778	0.0	0.2	0.0	0.151639
85	17	1	1	4	3	1	5	0.0	1	2012	4	1	7	11.5	70	0	1	1	3306	0.945555556	0.293888889	0.2	0.0	0.4977777779999999	0.0	0	0.1591666669999999	0.0	0.53	0.0	0.216405
86	17	3	0	4	3	1	1	1.0	1	2012	4	1	7	9.5	45	0	1	1	8402	1.929722222	0.562777778	0.3375	0.166666667	0.0	0.0	0	0.3425	1.9	1.35	0.0	0.300892
100	20	1	0	4	3	1	1	1.0	1	2012	4	1	7	18.0	55	0	1	1	14326	3.356388889	1.0655555559999998	0.2347222219999999	0.483333333	0.0	0.0	0	0.739166667	2.8	2.24	0.0	0.568959
120	25	0	2	1	3	2	5	0.0	1	2012	4	2	1	16.5	62	0	1	2	1245	0.301666667	0.093888889	0.118333333	0.0	0.05	0.0	0	0.063888889	0.0	0.17	0.0	0.2130429999999999
125	26	0	6	4	1	1	5	0.0	1	2012	4	2	1	0.0	61	0	1	2	961	0.241666667	0.055	0.193055556	0.0	0.016666667	0.0	0	0.056111111	0.0	0.19	0.0	0.049505
138	28	0	3	4	3	1	5	0.0	1	2012	4	2	1	21.08333333	84	0	1	2	6811	1.677777778	0.5375	0.097777778	0.0	0.5166666670000001	0.0	0	0.2825	0.0	1.11	0.0	0.139626
140	29	0	1	3	1	1	1	1.0	1	2012	4	2	1	22.0	62	0	0	1	6161	2.369166667	0.561666667	0.163888889	0.0	0.366666667	0.0	0	0.283333333	1.5	1.13	0.0	0.3029409999999999
153	31	0	2	1	3	6	1	1.0	1	2012	4	2	1	11.0	32	0	1	0	2099	0.488333333	0.188611111	0.147777778	0.0	0.189444444	0.0	0	0.1397222219999999	1.5	0.34	0.0	0.328032
158	31	1	3	1	3	6	1	1.0	1	2012	4	2	1	14.25	36	1	0	0	2099	0.491111111	0.178611111	0.170833333	0.0	0.131111111	0.0	0	0.168611111	1.5	0.44	0.0	0.410214
176	38	0	0	3	4	6	1	1.0	1	2012	4	2	1	10.0	35	1	1	0	5318	1.197222222	0.491388889	0.25	0.15	0.0	0.0	0	0.418333333	2.4	1.02	10.5	0.691235
185	41	0	3	3	3	1	5	0.0	1	2012	4	3	2	16.75	62	1	1	2	2392	0.591944444	0.181388889	0.049166667	0.0	0.1875	0.0	0	0.176388889	0.0	0.48	0.0	0.179528
192	42	0	1	4	4	2	1	1.0	1	2012	4	3	2	16.5	48	0	1	2	10081	2.417777778	0.815	0.038055556	0.35	0.145	0.289722222	2	0.588055556	5.9	1.48	0.0	0.413793
224	47	1	0	3	1	6	1	1.0	1	2012	4	3	2	6.0	28	0	1	0	18804	4.181666667	1.531944444	0.155833333	0.55	0.342222222	0.1	1	0.720833333	6.2	2.81	0.0	0.43738
262	58	0	0	3	1	6	5	0.0	1	2012	4	3	2	6.5	64	1	0	0	4593	1.097777778	0.335	0.192777778	0.133333333	0.0	0.0	0	0.253333333	0.0	0.77	0.0	0.266447
272	61	0	1	4	3	1	5	0.0	1	2012	4	4	3	10.75	84	0	1	1	2258	0.666388889	0.263333333	0.160277778	0.0	0.133333333	0.0	0	0.173888889	0.0	0.5	0.0	0.102236
277	62	1	0	4	3	1	5	0.0	1	2012	4	4	3	9.0	73	0	1	1	4739	1.3822222219999998	0.449444444	0.161111111	0.0	0.4538888889999999	0.0	0	0.25	0.0	0.88	0.0	0.2
317	73	0	1	1	3	6	5	0.0	1	2012	4	6	5	9.833333333	64	0	1	0	960	0.2525	0.089444444	0.131666667	0.016666667	0.0	0.0	0	0.166944444	0.0	0.37	0.0	0.2013309999999999
323	75	0	2	4	3	1	1	1.0	1	2012	4	6	5	15.35	50	0	1	1	9416	2.165277778	0.652222222	0.091111111	0.0	0.84	0.1	1	0.542222222	3.0	1.54	0.0	0.353484
372	86	0	6	4	5	3	1	1.0	1	2012	4	7	6	17.0	64	1	1	2	2886	0.770277778	0.243333333	0.2488888889999999	0.0	0.1166666669999999	0.0	0	0.162222222	1.5	0.52	0.0	0.1404109999999999
382	89	0	0	4	3	1	1	1.0	1	2012	4	8	7	15.0	31	0	1	1	8393	1.983333333	0.668888889	0.339166667	0.05	0.2919444439999999	0.183333333	1	0.363888889	3.4	1.26	0.0	0.20229
